state,year,yearly_avg
2,1974,-1.7713095238095238
2,1975,-0.9379761904761904
2,1976,-0.0016666666666667526
2,1977,-1.4945238095238094
2,1978,2.7776190476190474
2,1979,3.7639285714285715
2,1980,0.9864285714285713
2,1981,-1.8435714285714286
2,1982,0.5588095238095238
2,1983,3.593095238095238
2,1984,1.725714285714286
2,1985,3.001785714285714
2,1986,0.4565476190476191
2,1987,0.2808333333333334
2,1988,0.30809523809523814
2,1989,-2.9873809523809522
2,1990,-1.9835714285714285
2,1991,0.048928571428571495
2,1992,3.053571428571428
2,1993,3.447380952380952
2,1994,-1.3067857142857142
2,1995,0.08238095238095253
2,1996,-3.748095238095238
2,1997,-2.491904761904762
2,1998,1.158690476190476
2,1999,-1.6710714285714285
2,2000,-2.756190476190476
2,2001,-0.39999999999999997
